Geography,concat_no_state
Arizona,Age - 18 – 49
Arizona,Age - 50 – 64
Arizona,Age - 65+
Arizona,"Age.Race - 18 – 49, Black"
Arizona,"Age.Race - 18 – 49, Hispanic"
Arizona,"Age.Race - 18 – 49, Other"
Arizona,"Age.Race - 18 – 49, White"
Arizona,"Age.Race - 50 – 64, Hispanic"
Arizona,"Age.Race - 50 – 64, Other"
Arizona,"Age.Race - 50 – 64, White"
Arizona,"Age.Race - 65+, Hispanic"
Arizona,"Age.Race - 65+, White"
Arizona,18+ Adults - 18+ Adults
Arizona,US.Born - US Born
Arizona,US.Born - Not US Born
Arizona,Fr.Fam.Vaccd - Many
Arizona,Fr.Fam.Vaccd - No_some
Arizona,Vacc.Info.Seek - Often.Sometimes
Arizona,Vacc.Info.Seek - Rarely.Never
Arizona,Covid.Concern - A little_not
Arizona,Covid.Concern - Very_Moderately
Arizona,Vaccine.Confiden - Not at all_Somewhat
Arizona,Vaccine.Confiden - Very
Arizona,Vaccine.Imprtnt - A little_not at all
Arizona,Vaccine.Imprtnt - Somewhat_very
Arizona,Disability - No
Arizona,Disability - Yes
Arizona,Ess.Wrkr.grp - Ess.Healthcare
Arizona,Ess.Wrkr.grp - Ess.Other
Arizona,Ess.Wrkr.grp - Frontline.Other
Arizona,Ess.Wrkr.grp - Not.Ess.Wrkr
Arizona,Ess.Wrkr.grp - School.Childcare
Arizona,Past.Covid - No
Arizona,Past.Covid - Yes
Arizona,G.Identity - Cisgender
Arizona,G.Identity - Dont know
Arizona,G.Identity - TG/Non bin
Arizona,Prim.Care.Providr.Status - No
Arizona,Prim.Care.Providr.Status - Yes
Arizona,Comorbidity - No
Arizona,Comorbidity - Yes
Arizona,Dr.Recommend.Boostr - No
Arizona,Dr.Recommend.Vacc - No
Arizona,Dr.Recommend.Vacc - Yes
Arizona,Insurance - Insured
Arizona,Insurance - Not insured
Arizona,Language - English
Arizona,Language - Spanish
Arizona,Mask.Use - Always.Often
Arizona,Mask.Use - Occasional.Never
Arizona,Mental.Health - Excellent.Good
Arizona,Mental.Health - Fair.Poor
Arizona,Rural.Urban - Rural
Arizona,Rural.Urban - Suburban
Arizona,Rural.Urban - Urban
Arizona,Political - Democrat
Arizona,Political - None
Arizona,Political - Unknown
Arizona,Political - Republican
Arizona,Pov.Status - <$75k
Arizona,Pov.Status - >=$75k
Arizona,Pov.Status - Below poverty
Arizona,Pov.Status - Unknown
Arizona,Pregnancy - Not pregnant
Arizona,Race.4lvl - Black
Arizona,Race.4lvl - Hispanic
Arizona,Race.4lvl - Other
Arizona,Race.4lvl - White
Arizona,Flu.Vacc - No
Arizona,Flu.Vacc - Yes
Arizona,Past.Vaccin - No
Arizona,Past.Vaccin - Yes
Arizona,Racial.Equity - Better
Arizona,Racial.Equity - Dont know
Arizona,Racial.Equity - Equal
Arizona,Racial.Equity - Worse
Arizona,Sex - Female
Arizona,Sex - Male
Arizona,S.Orientation - Dont know
Arizona,S.Orientation - LGB
Arizona,S.Orientation - Hetero
Arizona,SVI - High
Arizona,SVI - Moderate
Arizona,SVI - Unknown
Arizona,Non.Englsh.Language - No
Arizona,Non.Englsh.Language - Yes
Arizona,Work.School - No
Arizona,Work.School - Unemployed
Arizona,Work.School - Yes
Arkansas,Age - 18 – 49
Arkansas,Age - 50 – 64
Arkansas,Age - 65+
Arkansas,"Age.Race - 18 – 49, Black"
Arkansas,"Age.Race - 18 – 49, Hispanic"
Arkansas,"Age.Race - 18 – 49, Other"
Arkansas,"Age.Race - 18 – 49, White"
Arkansas,"Age.Race - 50 – 64, Black"
Arkansas,"Age.Race - 50 – 64, Other"
Arkansas,"Age.Race - 50 – 64, White"
Arkansas,"Age.Race - 65+, Black"
Arkansas,"Age.Race - 65+, White"
Arkansas,18+ Adults - 18+ Adults
Arkansas,US.Born - US Born
Arkansas,US.Born - Not US Born
Arkansas,Fr.Fam.Vaccd - Many
Arkansas,Fr.Fam.Vaccd - No_some
Arkansas,Vacc.Info.Seek - Often.Sometimes
Arkansas,Vacc.Info.Seek - Rarely.Never
Arkansas,Covid.Concern - A little_not
Arkansas,Covid.Concern - Very_Moderately
Arkansas,Vaccine.Confiden - Not at all_Somewhat
Arkansas,Vaccine.Confiden - Very
Arkansas,Vaccine.Imprtnt - A little_not at all
Arkansas,Vaccine.Imprtnt - Somewhat_very
Arkansas,Disability - No
Arkansas,Disability - Yes
Arkansas,Ess.Wrkr.grp - Ess.Healthcare
Arkansas,Ess.Wrkr.grp - Ess.Other
Arkansas,Ess.Wrkr.grp - Frontline.Other
Arkansas,Ess.Wrkr.grp - Not.Ess.Wrkr
Arkansas,Ess.Wrkr.grp - School.Childcare
Arkansas,Past.Covid - No
Arkansas,Past.Covid - Yes
Arkansas,G.Identity - Cisgender
Arkansas,G.Identity - Dont know
Arkansas,G.Identity - TG/Non bin
Arkansas,Prim.Care.Providr.Status - No
Arkansas,Prim.Care.Providr.Status - Yes
Arkansas,Comorbidity - No
Arkansas,Comorbidity - Yes
Arkansas,Dr.Recommend.Boostr - No
Arkansas,Dr.Recommend.Vacc - No
Arkansas,Dr.Recommend.Vacc - Yes
Arkansas,Insurance - Insured
Arkansas,Insurance - Not insured
Arkansas,Language - English
Arkansas,Mask.Use - Always.Often
Arkansas,Mask.Use - Occasional.Never
Arkansas,Mental.Health - Excellent.Good
Arkansas,Mental.Health - Fair.Poor
Arkansas,Rural.Urban - Rural
Arkansas,Rural.Urban - Suburban
Arkansas,Rural.Urban - Urban
Arkansas,Political - Democrat
Arkansas,Political - None
Arkansas,Political - Unknown
Arkansas,Political - Republican
Arkansas,Pov.Status - <$75k
Arkansas,Pov.Status - >=$75k
Arkansas,Pov.Status - Below poverty
Arkansas,Pov.Status - Unknown
Arkansas,Pregnancy - Not pregnant
Arkansas,Race.4lvl - Black
Arkansas,Race.4lvl - Hispanic
Arkansas,Race.4lvl - Other
Arkansas,Race.4lvl - White
Arkansas,Flu.Vacc - No
Arkansas,Flu.Vacc - Yes
Arkansas,Past.Vaccin - No
Arkansas,Past.Vaccin - Yes
Arkansas,Racial.Equity - Better
Arkansas,Racial.Equity - Dont know
Arkansas,Racial.Equity - Equal
Arkansas,Racial.Equity - Worse
Arkansas,Sex - Female
Arkansas,Sex - Male
Arkansas,S.Orientation - Dont know
Arkansas,S.Orientation - LGB
Arkansas,S.Orientation - Hetero
Arkansas,SVI - High
Arkansas,SVI - Low
Arkansas,SVI - Moderate
Arkansas,SVI - Unknown
Arkansas,Non.Englsh.Language - No
Arkansas,Non.Englsh.Language - Yes
Arkansas,Work.School - No
Arkansas,Work.School - Unemployed
Arkansas,Work.School - Yes
California,Age - 18 – 49
California,Age - 50 – 64
California,Age - 65+
California,"Age.Race - 18 – 49, Black"
California,"Age.Race - 18 – 49, Hispanic"
California,"Age.Race - 18 – 49, Other"
California,"Age.Race - 18 – 49, White"
California,"Age.Race - 50 – 64, Black"
California,"Age.Race - 50 – 64, Hispanic"
California,"Age.Race - 50 – 64, Other"
California,"Age.Race - 50 – 64, White"
California,"Age.Race - 65+, Black"
California,"Age.Race - 65+, Hispanic"
California,"Age.Race - 65+, Other"
California,"Age.Race - 65+, White"
California,18+ Adults - 18+ Adults
California,US.Born - US Born
California,US.Born - Not US Born
California,Fr.Fam.Vaccd - Many
California,Fr.Fam.Vaccd - No_some
California,Vacc.Info.Seek - Often.Sometimes
California,Vacc.Info.Seek - Rarely.Never
California,Covid.Concern - A little_not
California,Covid.Concern - Very_Moderately
California,Vaccine.Confiden - Not at all_Somewhat
California,Vaccine.Confiden - Very
California,Vaccine.Imprtnt - A little_not at all
California,Vaccine.Imprtnt - Somewhat_very
California,Disability - No
California,Disability - Yes
California,Ess.Wrkr.grp - Ess.Healthcare
California,Ess.Wrkr.grp - Ess.Other
California,Ess.Wrkr.grp - Frontline.Other
California,Ess.Wrkr.grp - Not.Ess.Wrkr
California,Ess.Wrkr.grp - School.Childcare
California,Past.Covid - No
California,Past.Covid - Yes
California,G.Identity - Cisgender
California,G.Identity - Dont know
California,G.Identity - TG/Non bin
California,Prim.Care.Providr.Status - No
California,Prim.Care.Providr.Status - Yes
California,Comorbidity - No
California,Comorbidity - Yes
California,Dr.Recommend.Boostr - No
California,Dr.Recommend.Vacc - No
California,Dr.Recommend.Vacc - Yes
California,Insurance - Insured
California,Insurance - Not insured
California,Language - English
California,Language - Other
California,Language - Spanish
California,Mask.Use - Always.Often
California,Mask.Use - Occasional.Never
California,Mental.Health - Excellent.Good
California,Mental.Health - Fair.Poor
California,Rural.Urban - Rural
California,Rural.Urban - Suburban
California,Rural.Urban - Urban
California,Political - Democrat
California,Political - None
California,Political - Unknown
California,Political - Republican
California,Pov.Status - <$75k
California,Pov.Status - >=$75k
California,Pov.Status - Below poverty
California,Pov.Status - Unknown
California,Pregnancy - Breastfeeding
California,Pregnancy - Not pregnant
California,Pregnancy - Trying to get pregnant
California,Race.4lvl - Black
California,Race.4lvl - Hispanic
California,Race.4lvl - Other
California,Race.4lvl - White
California,Flu.Vacc - No
California,Flu.Vacc - Yes
California,Past.Vaccin - No
California,Past.Vaccin - Yes
California,Racial.Equity - Better
California,Racial.Equity - Dont know
California,Racial.Equity - Equal
California,Racial.Equity - Worse
California,Sex - Female
California,Sex - Male
California,S.Orientation - Dont know
California,S.Orientation - LGB
California,S.Orientation - Hetero
California,SVI - High
California,SVI - Low
California,SVI - Moderate
California,SVI - Unknown
California,Non.Englsh.Language - No
California,Non.Englsh.Language - Yes
California,Work.School - No
California,Work.School - Unemployed
California,Work.School - Yes
Colorado,Age - 18 – 49
Colorado,Age - 50 – 64
Colorado,Age - 65+
Colorado,"Age.Race - 18 – 49, Black"
Colorado,"Age.Race - 18 – 49, Hispanic"
Colorado,"Age.Race - 18 – 49, Other"
Colorado,"Age.Race - 18 – 49, White"
Colorado,"Age.Race - 50 – 64, Black"
Colorado,"Age.Race - 50 – 64, Hispanic"
Colorado,"Age.Race - 50 – 64, White"
Colorado,"Age.Race - 65+, Hispanic"
Colorado,"Age.Race - 65+, White"
Colorado,18+ Adults - 18+ Adults
Colorado,US.Born - US Born
Colorado,US.Born - Not US Born
Colorado,Fr.Fam.Vaccd - Many
Colorado,Fr.Fam.Vaccd - No_some
Colorado,Vacc.Info.Seek - Often.Sometimes
Colorado,Vacc.Info.Seek - Rarely.Never
Colorado,Covid.Concern - A little_not
Colorado,Covid.Concern - Very_Moderately
Colorado,Vaccine.Confiden - Not at all_Somewhat
Colorado,Vaccine.Confiden - Very
Colorado,Vaccine.Imprtnt - A little_not at all
Colorado,Vaccine.Imprtnt - Somewhat_very
Colorado,Disability - No
Colorado,Disability - Yes
Colorado,Ess.Wrkr.grp - Ess.Healthcare
Colorado,Ess.Wrkr.grp - Ess.Other
Colorado,Ess.Wrkr.grp - Frontline.Other
Colorado,Ess.Wrkr.grp - Not.Ess.Wrkr
Colorado,Ess.Wrkr.grp - School.Childcare
Colorado,Past.Covid - No
Colorado,Past.Covid - Yes
Colorado,G.Identity - Cisgender
Colorado,G.Identity - Dont know
Colorado,G.Identity - TG/Non bin
Colorado,Prim.Care.Providr.Status - No
Colorado,Prim.Care.Providr.Status - Yes
Colorado,Comorbidity - No
Colorado,Comorbidity - Yes
Colorado,Dr.Recommend.Boostr - No
Colorado,Dr.Recommend.Vacc - No
Colorado,Dr.Recommend.Vacc - Yes
Colorado,Insurance - Insured
Colorado,Insurance - Not insured
Colorado,Language - English
Colorado,Language - Spanish
Colorado,Mask.Use - Always.Often
Colorado,Mask.Use - Occasional.Never
Colorado,Mental.Health - Excellent.Good
Colorado,Mental.Health - Fair.Poor
Colorado,Rural.Urban - Rural
Colorado,Rural.Urban - Suburban
Colorado,Rural.Urban - Urban
Colorado,Political - Democrat
Colorado,Political - None
Colorado,Political - Unknown
Colorado,Political - Republican
Colorado,Pov.Status - <$75k
Colorado,Pov.Status - >=$75k
Colorado,Pov.Status - Below poverty
Colorado,Pov.Status - Unknown
Colorado,Pregnancy - Breastfeeding
Colorado,Pregnancy - Not pregnant
Colorado,Race.4lvl - Black
Colorado,Race.4lvl - Hispanic
Colorado,Race.4lvl - Other
Colorado,Race.4lvl - White
Colorado,Flu.Vacc - No
Colorado,Flu.Vacc - Yes
Colorado,Past.Vaccin - No
Colorado,Past.Vaccin - Yes
Colorado,Racial.Equity - Better
Colorado,Racial.Equity - Dont know
Colorado,Racial.Equity - Equal
Colorado,Racial.Equity - Worse
Colorado,Sex - Female
Colorado,Sex - Male
Colorado,S.Orientation - Dont know
Colorado,S.Orientation - LGB
Colorado,S.Orientation - Hetero
Colorado,SVI - High
Colorado,SVI - Low
Colorado,SVI - Moderate
Colorado,SVI - Unknown
Colorado,Non.Englsh.Language - No
Colorado,Non.Englsh.Language - Yes
Colorado,Work.School - No
Colorado,Work.School - Unemployed
Colorado,Work.School - Yes
Connecticut,Age - 18 – 49
Connecticut,Age - 50 – 64
Connecticut,Age - 65+
Connecticut,"Age.Race - 18 – 49, Black"
Connecticut,"Age.Race - 18 – 49, Hispanic"
Connecticut,"Age.Race - 18 – 49, Other"
Connecticut,"Age.Race - 18 – 49, White"
Connecticut,"Age.Race - 50 – 64, Black"
Connecticut,"Age.Race - 50 – 64, Hispanic"
Connecticut,"Age.Race - 50 – 64, White"
Connecticut,"Age.Race - 65+, White"
Connecticut,18+ Adults - 18+ Adults
Connecticut,US.Born - US Born
Connecticut,US.Born - Not US Born
Connecticut,Fr.Fam.Vaccd - Many
Connecticut,Fr.Fam.Vaccd - No_some
Connecticut,Vacc.Info.Seek - Often.Sometimes
Connecticut,Vacc.Info.Seek - Rarely.Never
Connecticut,Covid.Concern - A little_not
Connecticut,Covid.Concern - Very_Moderately
Connecticut,Vaccine.Confiden - Not at all_Somewhat
Connecticut,Vaccine.Confiden - Very
Connecticut,Vaccine.Imprtnt - A little_not at all
Connecticut,Vaccine.Imprtnt - Somewhat_very
Connecticut,Disability - No
Connecticut,Disability - Yes
Connecticut,Ess.Wrkr.grp - Ess.Healthcare
Connecticut,Ess.Wrkr.grp - Ess.Other
Connecticut,Ess.Wrkr.grp - Frontline.Other
Connecticut,Ess.Wrkr.grp - Not.Ess.Wrkr
Connecticut,Ess.Wrkr.grp - School.Childcare
Connecticut,Past.Covid - No
Connecticut,Past.Covid - Yes
Connecticut,G.Identity - Cisgender
Connecticut,G.Identity - Dont know
Connecticut,G.Identity - TG/Non bin
Connecticut,Prim.Care.Providr.Status - No
Connecticut,Prim.Care.Providr.Status - Yes
Connecticut,Comorbidity - No
Connecticut,Comorbidity - Yes
Connecticut,Dr.Recommend.Boostr - No
Connecticut,Dr.Recommend.Vacc - No
Connecticut,Dr.Recommend.Vacc - Yes
Connecticut,Insurance - Insured
Connecticut,Insurance - Not insured
Connecticut,Language - English
Connecticut,Mask.Use - Always.Often
Connecticut,Mask.Use - Occasional.Never
Connecticut,Mental.Health - Excellent.Good
Connecticut,Mental.Health - Fair.Poor
Connecticut,Rural.Urban - Rural
Connecticut,Rural.Urban - Suburban
Connecticut,Rural.Urban - Urban
Connecticut,Political - Democrat
Connecticut,Political - None
Connecticut,Political - Unknown
Connecticut,Pov.Status - <$75k
Connecticut,Pov.Status - >=$75k
Connecticut,Pov.Status - Below poverty
Connecticut,Pov.Status - Unknown
Connecticut,Pregnancy - Not pregnant
Connecticut,Race.4lvl - Black
Connecticut,Race.4lvl - Hispanic
Connecticut,Race.4lvl - Other
Connecticut,Race.4lvl - White
Connecticut,Flu.Vacc - No
Connecticut,Flu.Vacc - Yes
Connecticut,Past.Vaccin - No
Connecticut,Past.Vaccin - Yes
Connecticut,Racial.Equity - Better
Connecticut,Racial.Equity - Dont know
Connecticut,Racial.Equity - Equal
Connecticut,Racial.Equity - Worse
Connecticut,Sex - Female
Connecticut,Sex - Male
Connecticut,S.Orientation - Dont know
Connecticut,S.Orientation - LGB
Connecticut,S.Orientation - Hetero
Connecticut,SVI - Low
Connecticut,SVI - Moderate
Connecticut,SVI - Unknown
Connecticut,Non.Englsh.Language - No
Connecticut,Non.Englsh.Language - Yes
Connecticut,Work.School - No
Connecticut,Work.School - Unemployed
Connecticut,Work.School - Yes
Delaware,Age - 18 – 49
Delaware,Age - 50 – 64
Delaware,Age - 65+
Delaware,"Age.Race - 18 – 49, Black"
Delaware,"Age.Race - 18 – 49, Hispanic"
Delaware,"Age.Race - 18 – 49, Other"
Delaware,"Age.Race - 18 – 49, White"
Delaware,"Age.Race - 50 – 64, Black"
Delaware,"Age.Race - 50 – 64, White"
Delaware,"Age.Race - 65+, Black"
Delaware,"Age.Race - 65+, White"
Delaware,18+ Adults - 18+ Adults
Delaware,US.Born - US Born
Delaware,US.Born - Not US Born
Delaware,Fr.Fam.Vaccd - Many
Delaware,Fr.Fam.Vaccd - No_some
Delaware,Vacc.Info.Seek - Often.Sometimes
Delaware,Vacc.Info.Seek - Rarely.Never
Delaware,Covid.Concern - A little_not
Delaware,Covid.Concern - Very_Moderately
Delaware,Vaccine.Confiden - Not at all_Somewhat
Delaware,Vaccine.Confiden - Very
Delaware,Vaccine.Imprtnt - A little_not at all
Delaware,Vaccine.Imprtnt - Somewhat_very
Delaware,Disability - No
Delaware,Disability - Yes
Delaware,Ess.Wrkr.grp - Ess.Healthcare
Delaware,Ess.Wrkr.grp - Ess.Other
Delaware,Ess.Wrkr.grp - Frontline.Other
Delaware,Ess.Wrkr.grp - Not.Ess.Wrkr
Delaware,Ess.Wrkr.grp - School.Childcare
Delaware,Past.Covid - No
Delaware,Past.Covid - Yes
Delaware,G.Identity - Cisgender
Delaware,G.Identity - Dont know
Delaware,G.Identity - TG/Non bin
Delaware,Prim.Care.Providr.Status - No
Delaware,Prim.Care.Providr.Status - Yes
Delaware,Comorbidity - No
Delaware,Comorbidity - Yes
Delaware,Dr.Recommend.Boostr - No
Delaware,Dr.Recommend.Vacc - No
Delaware,Dr.Recommend.Vacc - Yes
Delaware,Insurance - Insured
Delaware,Insurance - Not insured
Delaware,Language - English
Delaware,Mask.Use - Always.Often
Delaware,Mask.Use - Occasional.Never
Delaware,Mental.Health - Excellent.Good
Delaware,Mental.Health - Fair.Poor
Delaware,Rural.Urban - Suburban
Delaware,Rural.Urban - Urban
Delaware,Political - Democrat
Delaware,Political - None
Delaware,Political - Unknown
Delaware,Political - Republican
Delaware,Pov.Status - <$75k
Delaware,Pov.Status - >=$75k
Delaware,Pov.Status - Below poverty
Delaware,Pov.Status - Unknown
Delaware,Pregnancy - Not pregnant
Delaware,Race.4lvl - Black
Delaware,Race.4lvl - Hispanic
Delaware,Race.4lvl - Other
Delaware,Race.4lvl - White
Delaware,Flu.Vacc - No
Delaware,Flu.Vacc - Yes
Delaware,Past.Vaccin - No
Delaware,Past.Vaccin - Yes
Delaware,Racial.Equity - Better
Delaware,Racial.Equity - Dont know
Delaware,Racial.Equity - Equal
Delaware,Racial.Equity - Worse
Delaware,Sex - Female
Delaware,Sex - Male
Delaware,S.Orientation - Dont know
Delaware,S.Orientation - LGB
Delaware,S.Orientation - Hetero
Delaware,SVI - High
Delaware,SVI - Moderate
Delaware,SVI - Unknown
Delaware,Non.Englsh.Language - No
Delaware,Non.Englsh.Language - Yes
Delaware,Work.School - No
Delaware,Work.School - Unemployed
Delaware,Work.School - Yes
District of Columbia,Age - 18 – 49
District of Columbia,Age - 50 – 64
District of Columbia,Age - 65+
District of Columbia,"Age.Race - 18 – 49, Black"
District of Columbia,"Age.Race - 18 – 49, Hispanic"
District of Columbia,"Age.Race - 18 – 49, Other"
District of Columbia,"Age.Race - 18 – 49, White"
District of Columbia,"Age.Race - 50 – 64, Black"
District of Columbia,"Age.Race - 50 – 64, Hispanic"
District of Columbia,"Age.Race - 50 – 64, Other"
District of Columbia,"Age.Race - 50 – 64, White"
District of Columbia,"Age.Race - 65+, Black"
District of Columbia,"Age.Race - 65+, White"
District of Columbia,18+ Adults - 18+ Adults
District of Columbia,US.Born - US Born
District of Columbia,US.Born - Not US Born
District of Columbia,Fr.Fam.Vaccd - Many
District of Columbia,Fr.Fam.Vaccd - No_some
District of Columbia,Vacc.Info.Seek - Often.Sometimes
District of Columbia,Vacc.Info.Seek - Rarely.Never
District of Columbia,Covid.Concern - A little_not
District of Columbia,Covid.Concern - Very_Moderately
District of Columbia,Vaccine.Confiden - Not at all_Somewhat
District of Columbia,Vaccine.Confiden - Very
District of Columbia,Vaccine.Imprtnt - A little_not at all
District of Columbia,Vaccine.Imprtnt - Somewhat_very
District of Columbia,Disability - No
District of Columbia,Disability - Yes
District of Columbia,Ess.Wrkr.grp - Ess.Healthcare
District of Columbia,Ess.Wrkr.grp - Ess.Other
District of Columbia,Ess.Wrkr.grp - Frontline.Other
District of Columbia,Ess.Wrkr.grp - Not.Ess.Wrkr
District of Columbia,Ess.Wrkr.grp - School.Childcare
District of Columbia,Past.Covid - No
District of Columbia,Past.Covid - Yes
District of Columbia,G.Identity - Cisgender
District of Columbia,G.Identity - Dont know
District of Columbia,G.Identity - TG/Non bin
District of Columbia,Prim.Care.Providr.Status - No
District of Columbia,Prim.Care.Providr.Status - Yes
District of Columbia,Comorbidity - No
District of Columbia,Comorbidity - Yes
District of Columbia,Dr.Recommend.Boostr - No
District of Columbia,Dr.Recommend.Vacc - No
District of Columbia,Dr.Recommend.Vacc - Yes
District of Columbia,Insurance - Insured
District of Columbia,Insurance - Not insured
District of Columbia,Language - English
District of Columbia,Language - Spanish
District of Columbia,Mask.Use - Always.Often
